"区分","学科別学校数_計","学科別学校数_高等課程","学科別学校数_専門課程","学科別学校数_一般課程","学科別学校数_計_計","学科別学校数_計_男","学科別学校数_計_女","学科別学校数_計_公立_男","学科別学校数_計_公立_女","学科別学校数_計_私立_男","学科別学校数_計_私立_女","学科別学校数_課程別_高等課程_男","学科別学校数_課程別_高等課程_女","学科別学校数_課程別_専門課程_男","学科別学校数_課程別_専門課程_女","学科別学校数_課程別_一般課程_男","学科別学校数_課程別_一般課程_女","学科別入学状況_入学者_計_計","学科別入学状況_入学者_計_男","学科別入学状況_入学者_計_女","学科別入学状況_入学者_高等課程_計","学科別入学状況_入学者_高等課程_男","学科別入学状況_入学者_高等課程_女","学科別入学状況_入学者_専門課程_計","学科別入学状況_入学者_専門課程_男","学科別入学状況_入学者_専門課程_女","学科別入学状況_入学者_一般課程_計","学科別入学状況_入学者_一般課程_男","学科別入学状況_入学者_一般課程_女"
"計","36.0","3.0","29.0","4.0","2682.0","1121.0","1561.0","169.0","498.0","952.0","1063.0","68.0","69.0","904.0","1422.0","149.0","70.0","1277.0","628.0","649.0","64.0","35.0","29.0","1000.0","444.0","556.0","213.0","149.0","64.0"
"工業関係","1.0","0.0","1.0","0.0","62.0","58.0","4.0","0.0","0.0","58.0","4.0","0.0","0.0","58.0","4.0","0.0","0.0","40.0","39.0","1.0","0.0","0.0","0.0","40.0","39.0","1.0","0.0","0.0","0.0"
"工業関係_情報処理","1.0","0.0","1.0","0.0","62.0","58.0","4.0","0.0","0.0","58.0","4.0","0.0","0.0","58.0","4.0","0.0","0.0","40.0","39.0","1.0","0.0","0.0","0.0","40.0","39.0","1.0","0.0","0.0","0.0"
"農業関係","1.0","0.0","1.0","0.0","48.0","39.0","9.0","39.0","9.0","0.0","0.0","0.0","0.0","39.0","9.0","0.0","0.0","25.0","20.0","5.0","0.0","0.0","0.0","25.0","20.0","5.0","0.0","0.0","0.0"
"農業関係_園芸","1.0","0.0","1.0","0.0","48.0","39.0","9.0","39.0","9.0","0.0","0.0","0.0","0.0","39.0","9.0","0.0","0.0","25.0","20.0","5.0","0.0","0.0","0.0","25.0","20.0","5.0","0.0","0.0","0.0"
"医療関係","11.0","0.0","10.0","1.0","1207.0","282.0","925.0","98.0","399.0","184.0","526.0","0.0","0.0","282.0","924.0","0.0","1.0","412.0","87.0","325.0","0.0","0.0","0.0","411.0","87.0","324.0","1.0","0.0","1.0"
"医療関係_看護","8.0","0.0","7.0","1.0","926.0","155.0","771.0","98.0","389.0","57.0","382.0","0.0","0.0","155.0","770.0","0.0","1.0","319.0","54.0","265.0","0.0","0.0","0.0","318.0","54.0","264.0","1.0","0.0","1.0"
"医療関係_歯科衛生","1.0","0.0","1.0","0.0","116.0","0.0","116.0","0.0","0.0","0.0","116.0","0.0","0.0","0.0","116.0","0.0","0.0","41.0","0.0","41.0","0.0","0.0","0.0","41.0","0.0","41.0","0.0","0.0","0.0"
"医療関係_理学・作業療法","1.0","0.0","1.0","0.0","155.0","127.0","28.0","0.0","0.0","127.0","28.0","0.0","0.0","127.0","28.0","0.0","0.0","42.0","33.0","9.0","0.0","0.0","0.0","42.0","33.0","9.0","0.0","0.0","0.0"
"医療関係_その他","1.0","0.0","1.0","0.0","10.0","0.0","10.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","10.0","0.0","10.0","0.0","0.0","0.0","10.0","0.0","10.0","0.0","0.0","0.0"
"衛生関係","5.0","1.0","4.0","0.0","150.0","33.0","117.0","0.0","0.0","33.0","117.0","3.0","16.0","30.0","101.0","0.0","0.0","84.0","18.0","66.0","19.0","3.0","16.0","65.0","15.0","50.0","0.0","0.0","0.0"
"衛生関係_美容","4.0","1.0","3.0","0.0","130.0","28.0","102.0","0.0","0.0","28.0","102.0","3.0","16.0","25.0","86.0","0.0","0.0","69.0","16.0","53.0","19.0","3.0","16.0","50.0","13.0","37.0","0.0","0.0","0.0"
"衛生関係_製菓・製パン","1.0","0.0","1.0","0.0","20.0","5.0","15.0","0.0","0.0","5.0","15.0","0.0","0.0","5.0","15.0","0.0","0.0","15.0","2.0","13.0","0.0","0.0","0.0","15.0","2.0","13.0","0.0","0.0","0.0"
"教育・社会福祉関係","3.0","0.0","3.0","0.0","124.0","68.0","56.0","0.0","0.0","68.0","56.0","0.0","0.0","68.0","56.0","0.0","0.0","68.0","39.0","29.0","0.0","0.0","0.0","68.0","39.0","29.0","0.0","0.0","0.0"
"教育・社会福祉関係_保育士養成","1.0","0.0","1.0","0.0","16.0","6.0","10.0","0.0","0.0","6.0","10.0","","","6.0","10.0","","","9.0","4.0","5.0","0.0","0.0","0.0","9.0","4.0","5.0","0.0","0.0","0.0"
"教育・社会福祉関係_介護福祉","2.0","0.0","2.0","0.0","108.0","62.0","46.0","0.0","0.0","62.0","46.0","0.0","0.0","62.0","46.0","0.0","0.0","59.0","35.0","24.0","0.0","0.0","0.0","59.0","35.0","24.0","0.0","0.0","0.0"
"商業実務関係","5.0","0.0","5.0","0.0","269.0","144.0","125.0","0.0","0.0","144.0","125.0","0.0","0.0","144.0","125.0","0.0","0.0","137.0","76.0","61.0","0.0","0.0","0.0","137.0","76.0","61.0","0.0","0.0","0.0"
"商業実務関係_経理・簿記","1.0","0.0","1.0","0.0","38.0","23.0","15.0","0.0","0.0","23.0","15.0","0.0","0.0","23.0","15.0","0.0","0.0","12.0","6.0","6.0","0.0","0.0","0.0","12.0","6.0","6.0","0.0","0.0","0.0"
"商業実務関係_情報","1.0","0.0","1.0","0.0","62.0","50.0","12.0","0.0","0.0","50.0","12.0","0.0","0.0","50.0","12.0","0.0","0.0","28.0","25.0","3.0","0.0","0.0","0.0","28.0","25.0","3.0","0.0","0.0","0.0"
"商業実務関係_ビジネス","1.0","0.0","1.0","0.0","44.0","2.0","42.0","0.0","0.0","2.0","42.0","0.0","0.0","2.0","42.0","0.0","0.0","16.0","0.0","16.0","0.0","0.0","0.0","16.0","0.0","16.0","0.0","0.0","0.0"
"商業実務関係_その他","2.0","0.0","2.0","0.0","125.0","69.0","56.0","0.0","0.0","69.0","56.0","0.0","0.0","69.0","56.0","0.0","0.0","81.0","45.0","36.0","0.0","0.0","0.0","81.0","45.0","36.0","0.0","0.0","0.0"
"服飾・家政関係","2.0","0.0","1.0","1.0","128.0","32.0","96.0","32.0","90.0","0.0","6.0","0.0","0.0","32.0","90.0","0.0","6.0","39.0","10.0","29.0","0.0","0.0","0.0","39.0","10.0","29.0","0.0","0.0","0.0"
"服飾・家政関係_家政","1.0","0.0","1.0","0.0","122.0","32.0","90.0","32.0","90.0","0.0","0.0","0.0","0.0","32.0","90.0","0.0","0.0","39.0","10.0","29.0","0.0","0.0","0.0","39.0","10.0","29.0","0.0","0.0","0.0"
"服飾・家政関係_和洋裁","1.0","0.0","0.0","1.0","6.0","0.0","6.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"文化・教養関係","8.0","2.0","4.0","2.0","694.0","465.0","229.0","0.0","0.0","465.0","229.0","65.0","53.0","251.0","113.0","149.0","63.0","472.0","339.0","133.0","45.0","32.0","13.0","215.0","158.0","57.0","212.0","149.0","63.0"
"文化・教養関係_受験・補習","1.0","0.0","0.0","1.0","210.0","149.0","61.0","0.0","0.0","149.0","61.0","0.0","0.0","0.0","0.0","149.0","61.0","210.0","149.0","61.0","0.0","0.0","0.0","0.0","0.0","0.0","210.0","149.0","61.0"
"文化・教養関係_法律行政","2.0","0.0","2.0","0.0","228.0","189.0","39.0","0.0","0.0","189.0","39.0","0.0","0.0","189.0","39.0","0.0","0.0","152.0","126.0","26.0","0.0","0.0","0.0","152.0","126.0","26.0","0.0","0.0","0.0"
"文化・教養関係_その他","5.0","2.0","2.0","1.0","256.0","127.0","129.0","0.0","0.0","127.0","129.0","65.0","53.0","62.0","74.0","0.0","2.0","110.0","64.0","46.0","45.0","32.0","13.0","63.0","32.0","31.0","2.0","0.0","2.0"
